price,m2_price,square,rooms,floor,floors,condition,condition_encoded
69000,1078,64,3,8,9,среднее,1
61472,850,72,2,4,9,хорошее,2
62500,1157,54,2,8,9,хорошее,2
21000,1167,18,1,-1,9,евроремонт,4
130000,818,159,4,4,10,под самоотделку (ПСО),3
69500,1158,60,3,5,10,евроремонт,4
68000,1259,54,3,5,5,евроремонт,4
43500,967,45,1,5,9,хорошее,2
99500,1106,90,3,9,11,евроремонт,4
49900,1134,44,2,2,4,хорошее,2
168000,1448,116,3,11,25,хорошее,2
59300,1022,58,1,8,10,под самоотделку (ПСО),3
44500,1112,40,2,4,4,среднее,1
47000,1270,37,1,10,12,хорошее,2
30000,698,43,3,1,1,среднее,1
75000,1442,52,2,3,4,евроремонт,4
52500,1221,43,2,1,4,хорошее,2
110000,1078,102,3,2,12,евроремонт,4
93000,1240,75,2,13,16,хорошее,2
45000,1071,42,1,3,5,хорошее,2
107000,1029,104,3,7,16,под самоотделку (ПСО),3
55000,1146,48,1,6,9,хорошее,2
60000,769,78,2,10,14,под самоотделку (ПСО),3
38000,844,45,1,8,9,хорошее,2
195000,1345,145,4,7,12,евроремонт,4
85000,1491,57,1,5,13,среднее,1
250000,1359,184,4,5,9,хорошее,2
165000,1289,128,4,3,10,хорошее,2
52000,981,53,1,3,9,хорошее,2
99000,990,100,3,9,13,хорошее,2
78070,740,106,3,10,13,под самоотделку (ПСО),3
115000,1075,107,2,7,8,евроремонт,4
54500,1185,46,1,6,13,среднее,1
67000,1175,57,2,8,9,хорошее,2
51000,1186,43,2,1,4,среднее,1
40000,927,43,1,9,12,хорошее,2
17500,972,18,1,3,5,хорошее,2
86000,1387,62,3,1,9,евроремонт,4
63000,1167,54,2,8,9,хорошее,2
73000,785,93,3,3,12,под самоотделку (ПСО),3
75000,987,76,2,5,12,евроремонт,4
56000,1167,48,1,9,10,евроремонт,4
58000,1094,53,2,9,9,евроремонт,4
75000,765,98,4,2,2,хорошее,2
106500,1044,102,3,10,10,евроремонт,4
124000,1676,74,3,7,9,евроремонт,4
174500,1322,132,4,7,10,евроремонт,4
52500,875,60,2,2,5,евроремонт,4
54000,900,60,2,5,5,под самоотделку (ПСО),3
61500,1337,46,1,12,13,хорошее,2
82000,953,86,2,10,10,евроремонт,4
90000,1023,88,3,10,12,под самоотделку (ПСО),3
53500,892,60,2,2,5,евроремонт,4
59900,894,67,3,1,5,хорошее,2
102000,836,122,5,9,10,под самоотделку (ПСО),3
54000,794,68,2,10,12,под самоотделку (ПСО),3
41900,952,44,1,6,9,евроремонт,4
136000,1183,115,4,9,10,евроремонт,4
77000,1100,70,2,7,10,хорошее,2
67500,964,70,2,10,11,евроремонт,4
140000,1045,134,4,3,12,евроремонт,4
68000,1133,60,2,7,9,евроремонт,4
74500,729,102,3,2,14,под самоотделку (ПСО),3
52000,867,60,2,2,5,хорошее,2
45000,1047,43,2,1,3,среднее,1
45000,1071,42,2,1,3,среднее,1
150000,1250,120,3,10,13,евроремонт,4
38000,864,44,1,10,14,хорошее,2
217000,1317,165,4,3,9,евроремонт,4
211500,900,235,свободная планировка,14,14,под самоотделку (ПСО),3
83000,954,87,2,10,14,под самоотделку (ПСО),3
17000,895,19,1,3,3,хорошее,2
26000,619,42,1,5,5,под самоотделку (ПСО),3
48140,830,58,1,12,12,хорошее,2
35000,921,38,1,1,3,хорошее,2
47000,1146,41,1,2,9,евроремонт,4
68000,1214,56,2,9,10,евроремонт,4
158800,1527,104,3,13,13,под самоотделку (ПСО),3
76000,1226,62,3,5,6,евроремонт,4
55000,965,57,3,4,4,хорошее,2
92000,1150,80,3,10,12,евроремонт,4
95000,1011,94,3,9,12,евроремонт,4
41500,1186,35,1,9,9,среднее,1
50000,1042,48,2,4,5,евроремонт,4
86000,1024,84,2,4,12,под самоотделку (ПСО),3
105000,1129,93,3,7,10,хорошее,2
59900,894,67,3,1,5,среднее,1
93500,935,100,3,7,10,хорошее,2
54000,1000,54,3,4,4,хорошее,2
41500,847,49,1,3,9,хорошее,2
126040,927,136,4,5,5,под самоотделку (ПСО),3
75000,1103,68,2,5,12,евроремонт,4
85000,1133,75,3,10,10,евроремонт,4
47500,990,48,1,8,9,евроремонт,4
71000,1014,70,3,5,5,хорошее,2
118000,1017,116,4,9,11,хорошее,2
85000,1250,68,3,3,5,хорошее,2
45500,812,56,2,2,4,под самоотделку (ПСО),3
40000,1053,38,1,3,12,под самоотделку (ПСО),3
35500,1014,35,1,7,9,хорошее,2
66000,1031,64,3,9,9,под самоотделку (ПСО),3
175000,1029,170,3,12,12,хорошее,2
45500,1138,40,1,2,12,евроремонт,4
157000,1510,104,3,13,14,под самоотделку (ПСО),3
62000,1127,55,2,6,9,хорошее,2
53500,1049,51,2,1,9,евроремонт,4
61500,904,68,2,8,10,под самоотделку (ПСО),3
59900,894,67,3,5,9,хорошее,2
33500,817,41,1,5,9,евроремонт,4
95000,864,110,3,1,4,евроремонт,4
80000,988,81,3,11,13,евроремонт,4
37500,987,38,1,1,4,евроремонт,4
75000,926,81,3,10,13,под самоотделку (ПСО),3
46500,816,57,1,4,5,хорошее,2
59600,903,66,2,8,10,евроремонт,4
41000,911,45,1,7,9,евроремонт,4
74500,1049,71,2,8,9,евроремонт,4
280000,1609,174,4,2,10,евроремонт,4
127000,1270,100,3,3,12,евроремонт,4
63000,1086,58,2,11,12,евроремонт,4
93000,969,96,3,9,12,евроремонт,4
75000,1230,61,3,1,9,евроремонт,4
158000,1463,108,4,4,9,евроремонт,4
56000,1167,48,2,4,5,евроремонт,4
115000,1027,112,3,2,9,евроремонт,4
69000,1150,60,3,5,11,евроремонт,4
111000,991,112,3,3,9,среднее,1
43500,1176,37,1,4,7,евроремонт,4
82000,1242,66,2,9,12,евроремонт,4
88200,900,98,3,5,14,под самоотделку (ПСО),3
100000,1031,97,3,1,12,евроремонт,4
58000,1036,56,1,8,12,под самоотделку (ПСО),3
111000,1291,86,3,7,10,евроремонт,4
93500,935,100,3,7,10,евроремонт,4
49300,783,63,2,9,16,под самоотделку (ПСО),3
49000,778,63,2,8,16,под самоотделку (ПСО),3
33600,715,47,1,6,14,под самоотделку (ПСО),3
67300,1202,56,3,1,5,евроремонт,4
56500,974,58,3,1,4,под самоотделку (ПСО),3
48000,1043,46,2,4,4,хорошее,2
73500,728,101,3,7,14,евроремонт,4
55000,1279,43,1,4,10,евроремонт,4
52000,912,57,1,9,10,хорошее,2
42000,1312,32,1,3,9,хорошее,2
62000,886,70,2,9,9,евроремонт,4
54000,1000,54,1,4,14,среднее,1
64000,1123,57,1,5,12,евроремонт,4
66000,1138,58,3,4,4,хорошее,2
39500,1274,31,1,2,5,хорошее,2
53000,1019,52,2,5,6,хорошее,2
57000,1261,45,2,4,4,хорошее,2
62500,1116,56,3,3,4,хорошее,2
85000,1076,79,3,3,5,хорошее,2
67500,1007,67,3,5,5,под самоотделку (ПСО),3
48000,1116,43,2,4,4,среднее,1
17500,427,41,1,2,9,под самоотделку (ПСО),3
49500,1151,43,1,4,10,евроремонт,4
36000,1091,33,1,7,9,хорошее,2
65500,1056,62,3,6,9,хорошее,2
48000,1116,43,2,3,10,хорошее,2
35000,1029,34,1,5,5,хорошее,2
67000,1155,58,3,7,9,хорошее,2
117000,1064,110,3,10,12,евроремонт,4
35000,1061,33,1,5,5,хорошее,2
50000,573,87,3,5,9,под самоотделку (ПСО),3
80000,1000,80,2,6,10,хорошее,2
29500,628,47,1,7,10,под самоотделку (ПСО),3
45500,929,49,1,4,12,евроремонт,4
51538,950,54,1,3,9,хорошее,2
115000,991,116,4,5,10,хорошее,2
71000,1044,68,2,9,9,евроремонт,4
110700,900,123,4,4,9,хорошее,2
94000,979,96,3,9,12,евроремонт,4
44200,789,56,2,2,4,евроремонт,4
41000,837,49,1,3,12,евроремонт,4
55000,1058,52,2,5,9,среднее,1
58800,964,61,2,10,12,евроремонт,4
37500,987,38,2,1,4,евроремонт,4
92000,920,100,3,7,10,евроремонт,4
52500,972,54,1,3,9,евроремонт,4
49000,925,53,1,9,9,евроремонт,4
47500,1056,45,1,7,10,евроремонт,4
29000,806,36,1,5,10,под самоотделку (ПСО),3
260000,2000,130,4,11,13,евроремонт,4
65700,900,73,2,4,9,хорошее,2
66000,750,88,3,13,14,под самоотделку (ПСО),3
31000,756,41,1,14,14,под самоотделку (ПСО),3
48500,1128,43,1,4,10,евроремонт,4
54500,1135,48,2,2,5,хорошее,2
45500,929,49,1,4,12,под самоотделку (ПСО),3
45500,1230,37,1,3,6,хорошее,2
160000,1481,108,4,4,9,евроремонт,4
48800,1775,28,1,2,3,хорошее,2
47241,900,52,1,5,11,под самоотделку (ПСО),3
71000,910,78,4,9,9,хорошее,2
130000,1000,130,3,7,10,евроремонт,4
369000,1800,205,4,4,4,под самоотделку (ПСО),3
51500,888,58,2,5,6,хорошее,2
45000,1000,45,1,6,9,евроремонт,4
190000,1863,102,3,7,14,евроремонт,4
58500,1219,48,1,12,12,хорошее,2
49000,980,50,2,3,4,под самоотделку (ПСО),3
42000,875,48,1,4,10,хорошее,2
48500,1128,43,2,1,4,евроремонт,4
71000,617,115,3,5,9,под самоотделку (ПСО),3
25000,532,47,1,9,9,под самоотделку (ПСО),3
25300,602,42,1,10,12,хорошее,2
60000,1077,56,1,3,12,под самоотделку (ПСО),3
59900,856,70,3,5,5,евроремонт,4
58000,795,73,2,3,15,евроремонт,4
79500,1136,70,2,5,12,хорошее,2
62000,925,67,3,3,10,хорошее,2
53000,1432,37,1,5,12,евроремонт,4
32500,985,33,1,5,6,евроремонт,4
63000,1131,56,2,12,12,под самоотделку (ПСО),3
67500,1125,60,3,1,5,евроремонт,4
89036,860,104,3,4,9,под самоотделку (ПСО),3
66500,700,95,3,11,12,под самоотделку (ПСО),3
42000,600,70,2,3,12,под самоотделку (ПСО),3
80500,1103,73,2,1,9,хорошее,2
61000,1052,58,3,4,4,хорошее,2
63000,1125,56,2,11,12,евроремонт,4
110000,1692,65,2,8,12,евроремонт,4
66000,767,86,3,11,15,под самоотделку (ПСО),3
86000,1344,64,2,2,10,евроремонт,4
64500,1132,57,1,5,12,евроремонт,4
67000,957,70,3,1,5,хорошее,2
105000,1400,75,2,7,12,евроремонт,4
55000,478,115,4,1,3,хорошее,2
108000,720,150,4,7,7,под самоотделку (ПСО),3
36400,958,38,1,9,9,среднее,1
45000,1406,32,1,2,4,среднее,1
183000,1000,183,4,3,14,под самоотделку (ПСО),3
66900,769,87,2,9,9,хорошее,2
81000,942,86,3,10,10,хорошее,2
89500,1061,84,3,8,9,хорошее,2
57500,650,88,3,13,16,хорошее,2
75000,1042,72,4,4,9,хорошее,2
48500,845,57,1,12,12,хорошее,2
65500,1170,56,1,8,9,хорошее,2
42000,933,45,1,7,12,евроремонт,4
46700,994,47,1,4,9,хорошее,2
36000,800,45,2,5,9,хорошее,2
45500,929,49,1,4,12,хорошее,2
74000,987,75,2,3,9,евроремонт,4
45800,1018,45,1,8,9,хорошее,2
81500,791,103,3,2,10,хорошее,2
58000,1208,48,1,5,13,евроремонт,4
72264,770,94,2,12,14,под самоотделку (ПСО),3
45200,1189,38,1,2,4,евроремонт,4
53500,922,58,2,10,10,хорошее,2
54000,1038,52,2,1,5,хорошее,2
129000,1290,100,3,3,13,евроремонт,4
91000,1230,74,2,5,16,евроремонт,4
91000,910,100,3,3,4,под самоотделку (ПСО),3
115000,1139,101,3,10,12,евроремонт,4
35500,1044,34,1,1,9,хорошее,2
85000,1012,84,3,2,10,евроремонт,4
56000,1217,46,1,5,16,под самоотделку (ПСО),3
28500,814,35,1,1,5,среднее,1
57500,1085,53,2,13,14,евроремонт,4
68000,1172,58,3,3,4,среднее,1
116000,1036,112,3,6,9,евроремонт,4
155000,1148,135,4,11,15,евроремонт,4
112000,1018,110,3,10,12,евроремонт,4
82000,1139,72,2,10,10,евроремонт,4
35000,1061,33,1,2,5,хорошее,2
26000,1300,20,1,1,9,хорошее,2
66000,1100,60,3,9,9,евроремонт,4
80000,1194,67,3,5,6,евроремонт,4
39500,1234,32,1,3,5,среднее,1
44000,954,46,1,1,9,хорошее,2
89000,1072,83,3,7,9,евроремонт,4
50000,1111,45,1,7,9,под самоотделку (ПСО),3
55000,1341,41,1,4,12,евроремонт,4
400000,1521,263,5,7,9,евроремонт,4
66000,1100,60,1,9,10,евроремонт,4
105000,1167,90,3,9,10,евроремонт,4
75000,888,84,3,7,9,хорошее,2
48700,1107,44,2,4,4,хорошее,2
36900,1230,30,1,1,3,хорошее,2
59700,1126,53,2,2,5,хорошее,2
43800,1095,40,1,7,9,среднее,1
73800,922,80,3,7,9,среднее,1
165000,1222,135,4,7,10,под самоотделку (ПСО),3
152800,1019,150,4,4,10,евроремонт,4
51400,1168,44,1,4,10,евроремонт,4
37500,915,41,1,7,12,хорошее,2
93800,938,100,3,7,10,хорошее,2
76500,1125,68,2,5,12,хорошее,2
92000,836,110,2,9,13,хорошее,2
66500,1039,64,2,4,14,евроремонт,4
52000,1081,48,1,7,9,евроремонт,4
39000,1114,35,1,3,9,среднее,1
82000,872,94,2,9,10,среднее,1
53500,922,58,3,4,4,хорошее,2
54000,1019,53,2,6,10,евроремонт,4
12000,545,22,1,2,9,под самоотделку (ПСО),3
155000,1150,135,4,11,15,хорошее,2
195000,1054,185,4,11,12,евроремонт,4
61200,1055,58,3,4,4,евроремонт,4
107000,1019,105,3,10,10,хорошее,2
54000,1286,42,2,7,12,хорошее,2
106500,934,114,3,10,10,хорошее,2
75000,938,80,2,3,9,хорошее,2
52500,921,57,3,1,4,хорошее,2
120000,1043,115,3,9,11,евроремонт,4
35000,1061,33,1,2,5,евроремонт,4
69000,1113,62,3,5,5,хорошее,2
51000,585,87,3,6,9,под самоотделку (ПСО),3
115000,878,131,3,8,10,хорошее,2
78000,918,85,3,3,10,евроремонт,4
106300,830,128,4,7,12,под самоотделку (ПСО),3
42000,800,52,1,9,12,под самоотделку (ПСО),3
34500,1232,28,1,3,4,среднее,1
101000,828,122,5,9,10,под самоотделку (ПСО),3
95000,1462,65,3,3,12,евроремонт,4
57750,750,77,2,13,14,под самоотделку (ПСО),3
40000,800,50,1,6,14,под самоотделку (ПСО),3
33500,1015,33,1,2,5,среднее,1
80000,1096,73,2,1,9,хорошее,2
49000,1140,43,2,1,4,среднее,1
61000,984,62,1,13,14,евроремонт,4
45000,957,47,1,11,12,хорошее,2
47170,890,53,1,8,12,под самоотделку (ПСО),3
65000,1011,64,3,4,5,среднее,1
50350,950,53,1,8,12,хорошее,2
67500,978,69,2,10,12,евроремонт,4
137000,1212,113,4,8,12,евроремонт,4
48500,951,51,2,7,15,под самоотделку (ПСО),3
41500,1092,38,1,7,9,хорошее,2
49000,1021,48,1,8,9,евроремонт,4
61000,1109,55,2,8,9,среднее,1
65500,992,66,2,8,9,евроремонт,4
31500,757,42,1,14,14,под самоотделку (ПСО),3
75000,1103,68,2,5,12,хорошее,2
58000,1160,50,2,11,12,хорошее,2
56500,1130,50,1,11,12,евроремонт,4
55000,846,65,2,10,12,среднее,1
24500,700,35,1,9,9,под самоотделку (ПСО),3
53800,1170,46,1,6,9,евроремонт,4
61500,1337,46,1,12,13,евроремонт,4
60000,1224,49,1,11,12,евроремонт,4
28600,650,44,1,16,16,под самоотделку (ПСО),3
54300,1086,50,2,5,5,хорошее,2
12500,1250,10,1,2,4,хорошее,2
40300,620,65,2,10,10,под самоотделку (ПСО),3
53500,1092,49,2,5,5,хорошее,2
49300,783,63,2,8,16,под самоотделку (ПСО),3
108000,766,141,3,8,12,хорошее,2
30500,744,41,1,9,12,под самоотделку (ПСО),3
55000,846,65,2,10,12,хорошее,2
40500,1157,35,1,4,9,хорошее,2
136000,993,137,4,2,5,евроремонт,4
49500,1076,46,1,4,10,хорошее,2
67000,1000,67,2,4,12,под самоотделку (ПСО),3
59500,1102,54,2,10,12,евроремонт,4
55000,948,58,3,4,5,среднее,1
47000,1022,46,1,3,4,хорошее,2
49000,1021,48,1,8,9,евроремонт,4
41000,804,51,1,10,16,хорошее,2
32000,762,42,1,6,12,евроремонт,4
98560,880,112,3,13,14,евроремонт,4
29000,800,36,1,10,10,под самоотделку (ПСО),3
58000,1160,50,1,6,12,хорошее,2
59000,1157,51,1,6,12,евроремонт,4
96000,1021,94,3,6,13,евроремонт,4
90500,1065,85,3,10,12,евроремонт,4
56500,856,66,2,12,13,евроремонт,4
88000,1073,82,2,9,10,хорошее,2
41000,932,44,1,3,9,хорошее,2
36000,1091,33,1,1,5,хорошее,2
49500,728,68,2,4,14,под самоотделку (ПСО),3
114000,1036,110,3,10,12,евроремонт,4
117000,1035,113,3,10,11,евроремонт,4
61500,1367,45,1,12,13,евроремонт,4
42500,733,58,2,12,14,под самоотделку (ПСО),3
94000,979,96,3,9,10,евроремонт,4
66500,1209,55,2,9,10,евроремонт,4
16000,667,24,1,-1,16,хорошее,2
69000,1255,55,2,3,12,хорошее,2
81000,1227,66,2,9,12,евроремонт,4
33500,798,42,1,12,14,под самоотделку (ПСО),3
170000,919,185,4,11,12,евроремонт,4
61500,1337,46,1,9,12,хорошее,2
115000,1095,105,3,8,12,хорошее,2
71000,866,82,2,2,9,евроремонт,4
66500,646,103,3,9,9,под самоотделку (ПСО),3
66500,1279,52,2,8,12,под самоотделку (ПСО),3
82410,670,123,4,13,13,хорошее,2
36500,745,49,1,12,12,евроремонт,4
59160,760,78,2,10,14,евроремонт,4
59000,1283,46,1,10,16,под самоотделку (ПСО),3
49500,1151,43,2,2,4,среднее,1
60000,1111,54,2,6,10,под самоотделку (ПСО),3
105060,1020,103,3,2,14,под самоотделку (ПСО),3
93000,1257,74,2,14,16,евроремонт,4
86000,828,104,3,3,4,под самоотделку (ПСО),3
45000,1154,39,1,10,13,евроремонт,4
91000,1000,91,3,12,12,евроремонт,4
63000,1286,49,1,11,13,евроремонт,4
72000,1180,61,2,3,10,среднее,1
55000,1139,48,2,1,5,под самоотделку (ПСО),3
65000,1667,39,1,5,8,евроремонт,4
39000,520,75,3,3,4,хорошее,2
245000,1114,220,4,11,12,евроремонт,4
19000,422,45,1,6,9,евроремонт,4
69000,986,70,2,10,11,хорошее,2
66960,930,72,2,2,9,под самоотделку (ПСО),3
34500,784,44,1,2,5,евроремонт,4
96000,1185,81,2,3,12,евроремонт,4
44000,1048,42,1,13,15,хорошее,2
90000,1098,82,2,9,10,хорошее,2
42000,1077,39,1,6,10,евроремонт,4
60000,1111,54,2,6,10,евроремонт,4
59500,850,70,2,8,14,хорошее,2
73440,680,108,3,10,12,под самоотделку (ПСО),3
111000,991,112,3,3,9,евроремонт,4
209600,800,262,6 и более,13,14,под самоотделку (ПСО),3
52000,1182,44,1,4,10,под самоотделку (ПСО),3
51300,1020,50,2,11,14,под самоотделку (ПСО),3
109500,716,153,3,13,14,под самоотделку (ПСО),3
87863,821,107,3,11,14,под самоотделку (ПСО),3
54000,1029,52,2,5,6,хорошее,2
86000,915,94,3,3,12,под самоотделку (ПСО),3
58500,1393,42,2,8,10,евроремонт,4
109500,716,153,4,12,14,под самоотделку (ПСО),3
59000,1017,58,2,10,12,под самоотделку (ПСО),3
55000,948,58,2,5,10,евроремонт,4
56750,822,69,2,9,14,хорошее,2
59422,1100,54,1,7,14,хорошее,2
120000,1078,111,4,14,14,под самоотделку (ПСО),3
37000,561,66,2,1,2,среднее,1
63000,1050,60,3,4,5,под самоотделку (ПСО),3
54000,1149,47,2,2,12,под самоотделку (ПСО),3
54000,1080,50,1,5,9,под самоотделку (ПСО),3
66000,750,88,3,11,14,под самоотделку (ПСО),3
98000,1043,94,3,6,13,евроремонт,4
44500,1112,40,1,10,11,хорошее,2
32500,903,36,1,5,11,евроремонт,4
83000,994,84,3,2,9,евроремонт,4
44000,936,47,2,5,5,хорошее,2
36500,869,42,1,9,9,среднее,1
38800,995,39,1,1,5,среднее,1
50000,1111,45,1,5,5,евроремонт,4
170000,944,180,4,11,12,хорошее,2
209600,800,262,5,12,13,под самоотделку (ПСО),3
60000,952,63,2,4,6,среднее,1
54000,1050,51,2,13,15,евроремонт,4
74000,1194,62,3,6,9,среднее,1
82000,1242,66,2,9,12,под самоотделку (ПСО),3
42500,1214,35,1,1,5,среднее,1
66000,1213,54,2,6,9,хорошее,2
87000,1088,80,2,5,9,евроремонт,4
57000,851,67,3,1,5,хорошее,2
68000,773,88,3,11,14,евроремонт,4
39000,1000,39,1,6,12,под самоотделку (ПСО),3
145000,1408,103,3,3,12,евроремонт,4
44000,898,49,1,3,12,евроремонт,4
50500,754,67,2,8,16,под самоотделку (ПСО),3
57000,1140,50,2,7,8,евроремонт,4
61100,1300,47,1,5,16,под самоотделку (ПСО),3
53000,1128,47,2,1,5,евроремонт,4
149500,1150,130,4,14,16,под самоотделку (ПСО),3
84280,860,98,3,5,14,под самоотделку (ПСО),3
41500,769,54,2,2,10,под самоотделку (ПСО),3
42000,1000,42,1,5,10,под самоотделку (ПСО),3
99499,1058,94,3,6,13,евроремонт,4
62300,1271,49,1,11,12,евроремонт,4
160000,1301,123,3,12,12,евроремонт,4
64500,750,86,2,2,12,под самоотделку (ПСО),3
35000,538,65,2,9,12,евроремонт,4
40500,1266,32,1,4,5,хорошее,2
19500,975,20,1,2,3,евроремонт,4
35000,972,36,1,5,10,хорошее,2
46000,958,48,2,4,4,хорошее,2
28900,705,41,2,5,9,евроремонт,4
80000,1111,72,4,4,9,евроремонт,4
70992,730,97,3,12,15,под самоотделку (ПСО),3
